sno	link	university	location	acronym	founded	arts_and_humanities_prebachelor	arts_and_humanities_bachelor	arts_and_humanities_master	arts_and_humanities_doctoral	business_and_social_sciences_prebachelor	business_and_social_sciences_bachelor	business_and_social_sciences_master	business_and_social_sciences_doctoral	language_and_cultural_prebachelor	language_and_cultural_bachelor	language_and_cultural_master	language_and_cultural_doctoral	medicine_and_health_prebachelor	medicine_and_health_bachelor	medicine_and_health_master	medicine_and_health_doctoral	engineering_prebachelor	engineering_bachelor	engineering_master	engineering_doctoral	science_and_technology_prebachelor	science_and_technology_bachelor	science_and_technology_master	science_and_technology_doctoral	ug_local	pg_local	ug_intl.	pg_intl.	student_enrollment	academic_staff	control_type	entity_type	academic_calendar	campus_setting	religious_affiliation	
35	http://www.4icu.org/reviews/14631.htm	Sunway University	Petaling Jaya	na	1987 	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Not reported	Not reported	Not reported	Not reported	Not reported	Not reported	 Private	 Non-Profit	Not reported	Not reported	None	
14	http://www.4icu.org/reviews/3217.htm	Multimedia University	Cyberjaya ...	MMU	1996 Origins date back to 1994	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Not reported	Not reported	Not reported	Not reported	 20,000-24,999	 1,000-1,499	 Private	 For-Profit	 Trimesters	 Urban	None	
31	http://www.4icu.org/reviews/14639.htm	UCSI University	Kuala Lumpur ...	UCSI	1986 	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	2,500-5,000 US$ (1,800-3,700 Euro)	2,500-5,000 US$ (1,800-3,700 Euro)	2,500-5,000 US$ (1,800-3,700 Euro)	5,000-7,500 US$ (3,700-5,500 Euro)	 2,000-2,999	 500-599	 Private	 For-Profit	 Trimesters	 Urban	None	
41	http://www.4icu.org/reviews/14630.htm	Perdana University	Seri Kembangan	PU	2011 	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Not reported	Not reported	Not reported	Not reported	Not reported	Not reported	 Private	Not reported	Not reported	Not reported	None	
3	http://www.4icu.org/reviews/3227.htm	Universiti Sains Malaysia	Georgetown	USM	1969 	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Not reported	Not reported	Not reported	Not reported	 20,000-24,999	 2,000-2,499	 Public	 Non-Profit	Not reported	Not reported	None	
7	http://www.4icu.org/reviews/3234.htm	Universiti Utara Malaysia	Sintok	UUM	1984 	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	Yes	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	0-1,000 US$ (0-750 Euro)	1,000-2,500 US$ (750-1,800 Euro)	0-1,000 US$ (0-750 Euro)	1,000-2,500 US$ (750-1,800 Euro)	 25,000-29,999	 2,500-2,999	 Public	 Non-Profit	 Semesters	 Suburban	None	
33	http://www.4icu.org/reviews/14637.htm	Asia e University	Kuala Lumpur	AeU	2006 	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Not reported	Not reported	Not reported	Not reported	Not reported	Not reported	 Private	Not reported	Not reported	Not reported	None	
8	http://www.4icu.org/reviews/3214.htm	Universiti Islam Antarabangsa Malaysia	Kuala Lumpur ...	IIUM	1983 	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Not reported	Not reported	Not reported	Not reported	 20,000-24,999	 4,000-4,499	 Public	 Non-Profit	 Semesters	 Suburban	 Islamic 	
24	http://www.4icu.org/reviews/14638.htm	HELP University	Kuala Lumpur	na	1986 	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	Not reported	Not reported	Not reported	Not reported	Not reported	Not reported	 Private	Not reported	Not reported	Not reported	None	
28	http://www.4icu.org/reviews/14632.htm	Taylor's University	Subang Jaya	na	1969 	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	No	7,500-10,000 US$ (5,500-7,400 Euro)	7,500-10,000 US$ (5,500-7,400 Euro)	7,500-10,000 US$ (5,500-7,400 Euro)	7,500-10,000 US$ (5,500-7,400 Euro)	 15,000-19,999	Not reported	 Private	 For-Profit	 Semesters	 Suburban	None	
